date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:51:42	327/327	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20May%202018%2008:51:42%20GMT	http://www.phlashtools.com/robots.txt		(from )
13:51:42	39689/39689	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20May%202018%2008:51:42%20GMT	http://www.phlashtools.com/	D:/1st%20semester/khadmi/www.phlashtools.com/index.html	(from )
13:51:43	101/101	---M--	200	added ('OK')	image/png	etag:%229b01601-65-52ff99c0cccc0%22	http://phlashtools.com/image/catalog/favicon.png	D:/1st%20semester/khadmi/phlashtools.com/image/catalog/favicon.png	(from http://www.phlashtools.com/)
13:51:46	101595/101595	---M--	200	added ('OK')	text/css	etag:%229b01494-18cdb-52ff99c0cccc0%22	http://phlashtools.com/catalog/view/javascript/bootstrap/css/bootstrap.min.css	D:/1st%20semester/khadmi/phlashtools.com/catalog/view/javascript/bootstrap/css/bootstrap.min.css	(from http://www.phlashtools.com/)
13:51:49	20766/20766	---M--	200	added ('OK')	text/css	etag:%229b01464-511e-52ff99c0cccc0%22	http://phlashtools.com/catalog/view/javascript/font-awesome/css/font-awesome.min.css	D:/1st%20semester/khadmi/phlashtools.com/catalog/view/javascript/font-awesome/css/font-awesome.min.css	(from http://www.phlashtools.com/)
13:51:50	3080/3080	---M--	200	added ('OK')	text/css	etag:%229b014a3-c08-52ff99c0cccc0%22	http://phlashtools.com/catalog/view/javascript/jquery/owl-carousel/owl.carousel.css	D:/1st%20semester/khadmi/phlashtools.com/catalog/view/javascript/jquery/owl-carousel/owl.carousel.css	(from http://www.phlashtools.com/)
13:51:51	29097/29097	---M--	200	added ('OK')	application/javascript	etag:%229b0149d-71a9-52ff99c0cccc0%22	http://phlashtools.com/catalog/view/javascript/bootstrap/js/bootstrap.min.js	D:/1st%20semester/khadmi/phlashtools.com/catalog/view/javascript/bootstrap/js/bootstrap.min.js	(from http://www.phlashtools.com/)
13:51:51	2676/2676	---M--	200	added ('OK')	text/css	etag:%229b012a5-a74-52ff99c0cccc0%22	http://phlashtools.com/catalog/view/theme/theme560/stylesheet/magnificent.css	D:/1st%20semester/khadmi/phlashtools.com/catalog/view/theme/theme560/stylesheet/magnificent.css	(from http://www.phlashtools.com/)
13:51:51	84245/84245	---M--	200	added ('OK')	application/javascript	etag:%229b014aa-14915-52ff99c0cccc0%22	http://phlashtools.com/catalog/view/javascript/jquery/jquery-2.1.1.min.js	D:/1st%20semester/khadmi/phlashtools.com/catalog/view/javascript/jquery/jquery-2.1.1.min.js	(from http://www.phlashtools.com/)
13:51:51	3687/3687	---M--	200	added ('OK')	text/css	etag:%229b01364-e67-52ff99c0cccc0%22	http://phlashtools.com/catalog/view/theme/theme560/js/jquery.bxslider/jquery.bxslider.css	D:/1st%20semester/khadmi/phlashtools.com/catalog/view/theme/theme560/js/jquery.bxslider/jquery.bxslider.css	(from http://www.phlashtools.com/)
